entryEpoch,direction,zoneType,breakType,sweep,entryPrice,sl,exit,exitPrice,hit1,hit2,hit3,r
1784609100,BUY,Broken level,CHOCH,false,13648.1090,13623.8369,SL,13623.8210,false,false,false,-1.001
1784610180,BUY,Broken level,BOS,false,13662.9300,13640.9221,SL,13630.2370,true,true,false,-1.486
1784612220,BUY,Broken level,BOS,false,13707.7200,13688.5423,SL,13686.5920,true,false,false,-1.102
1784614740,BUY,Broken level,CHOCH,true,13736.8130,13708.5256,SL,13704.0140,false,false,false,-1.159
1784615760,BUY,Broken level,BOS,false,13753.3200,13724.1127,SL,13723.6140,false,false,false,-1.017
1784616180,BUY,Broken level,BOS,true,13780.8630,13756.1712,SL,13752.0380,true,true,false,-1.167
1784618760,BUY,Broken level,BOS,false,13838.8840,13814.1783,SL,13813.1010,false,false,false,-1.044
1784619420,BUY,Trendline,BOS,false,13840.7710,13818.8821,TP3,13909.1680,true,true,true,3.125
1784622900,BUY,Broken level,CHOCH,false,13916.1070,13887.4024,TP3,14006.1300,true,true,true,3.136
1784628720,BUY,Broken level,CHOCH,false,13831.5150,13803.1472,TP3,13924.7020,true,true,true,3.285
1784632980,BUY,Broken level,CHOCH,false,14015.5770,13984.6346,TP3,14117.3480,true,true,true,3.289
1784634960,BUY,Broken level,BOS,false,14154.0120,14124.0645,SL,14117.5980,true,true,false,-1.216
1784640240,BUY,Broken level,CHOCH,false,14202.0090,14177.6336,SL,14139.9320,true,false,false,-2.547
1784643660,BUY,Broken level,CHOCH,false,14110.2780,14085.5844,SL,14075.2440,false,false,false,-1.419
1784645940,BUY,Trendline,CHOCH,true,14121.3020,14100.3619,SL,14099.2190,true,false,false,-1.055
1784647260,BUY,Trendline,BOS,false,14131.7400,14107.0225,SL,14081.8140,false,false,false,-2.020
1784647980,BUY,Broken level,CHOCH,true,14159.0010,14132.9829,TP3,14240.1000,true,true,true,3.117
1784649300,BUY,Broken level,BOS,false,14271.4610,14242.2485,SL,14238.5080,false,false,false,-1.128
1784650560,BUY,Broken level,BOS,false,14261.8860,14238.2285,SL,14232.0750,false,false,false,-1.260
1784652660,BUY,Broken level,CHOCH,false,14267.7890,14241.2424,TP3,14350.2500,true,true,true,3.106
1784654580,BUY,Broken level,BOS,false,14413.4740,14387.7933,TP3,14524.6510,true,true,true,4.329
1784657160,BUY,Broken level,CHOCH,true,14544.8380,14512.5870,SL,14498.9640,false,false,false,-1.422
1784658240,BUY,Broken level,BOS,false,14568.2880,14544.1209,SL,14538.4370,false,false,false,-1.235
1784659200,BUY,Broken level,BOS,false,14589.1410,14563.1729,SL,14544.3530,true,false,false,-1.725
1784660880,BUY,Broken level,CHOCH,false,14582.4770,14560.0278,TP3,14660.4920,true,true,true,3.475
1784808060,SELL,Broken level,CHOCH,false,14447.6950,14475.2978,SL,14489.8530,false,false,false,-1.527
1784808660,SELL,Broken level,BOS,false,14447.4620,14476.1516,TP3,14326.7470,true,true,true,4.208
1784810580,SELL,Broken level,BOS,false,14274.6090,14300.8775,TP3,14190.7230,true,true,true,3.193
1784813400,SELL,Broken level,BOS,false,14175.5450,14199.0849,SL,14217.3720,false,false,false,-1.777
1784815560,SELL,Broken level,CHOCH,false,14259.1730,14284.3229,SL,14294.4200,false,false,false,-1.401
1784816280,SELL,Broken level,BOS,true,14232.0630,14261.1405,SL,14273.6520,false,false,false,-1.430
1784816760,SELL,Broken level,BOS,false,14223.9900,14254.1020,SL,14255.8090,true,false,false,-1.057
1784819400,SELL,Trendline,CHOCH,false,14261.6480,14285.0167,SL,14287.6280,true,false,false,-1.112
1784824020,SELL,Broken level,CHOCH,false,14475.0530,14501.6353,SL,14515.8900,false,false,false,-1.536
1784826180,SELL,Broken level,CHOCH,false,14599.6960,14629.7249,SL,14642.0590,true,true,false,-1.411
1784832600,SELL,Broken level,CHOCH,true,14691.6940,14715.0458,SL,14715.1450,false,false,false,-1.004
1784835840,BUY,Broken level,CHOCH,false,14804.6100,14780.3609,SL,14776.4730,true,false,false,-1.160
1784836620,BUY,Broken level,BOS,false,14847.8850,14819.8732,SL,14803.6850,true,true,false,-1.578
1784840760,BUY,Trendline,CHOCH,false,14734.3920,14708.9233,SL,14708.4330,true,true,false,-1.019
1784843340,BUY,Broken level,CHOCH,false,14785.5890,14757.0281,SL,14738.0350,false,false,false,-1.665
1784845260,BUY,Broken level,CHOCH,false,14793.0870,14766.7415,SL,14756.8110,false,false,false,-1.377
1784848200,BUY,Broken level,CHOCH,false,14677.6860,14651.5858,TP3,14757.1740,true,true,true,3.045
1784851200,BUY,Broken level,CHOCH,true,14820.3830,14794.7596,TP3,14904.0320,true,true,true,3.265
1784854800,BUY,Trendline,BOS,false,15195.8140,15166.2179,TP3,15287.7580,true,true,true,3.107
1784857320,BUY,Broken level,BOS,false,15530.0800,15506.0656,SL,15503.6660,true,false,false,-1.100
1784860860,BUY,Broken level,CHOCH,false,15487.5650,15461.2892,SL,15454.8240,false,false,false,-1.246
1784862180,BUY,Broken level,BOS,false,15516.0690,15489.5656,SL,15482.5020,true,false,false,-1.267
1784863440,BUY,Broken level,CHOCH,false,15590.9180,15562.0484,TP3,15681.7370,true,true,true,3.146
1784869620,BUY,Broken level,CHOCH,true,15657.6550,15630.6026,SL,15618.4920,true,true,false,-1.448
1784875200,BUY,Broken level,CHOCH,false,15547.7770,15521.1134,SL,15483.8250,false,false,false,-2.398
1784876400,BUY,Broken level,CHOCH,false,15531.5290,15504.0216,SL,15501.3070,false,false,false,-1.099
1784881500,BUY,Broken level,CHOCH,false,15500.0080,15473.0731,SL,15471.0490,false,false,false,-1.075
1784882220,BUY,Broken level,BOS,false,15531.1940,15503.6886,SL,15488.8870,false,false,false,-1.538
1784885940,BUY,Broken level,CHOCH,false,15505.3660,15479.5528,SL,15475.5710,true,true,false,-1.154
1784888340,BUY,Broken level,BOS,false,15556.9170,15528.0795,SL,15516.5460,false,false,false,-1.400
1784891820,BUY,Broken level,CHOCH,false,15555.3330,15528.3057,SL,15519.8730,false,false,false,-1.312
1784893020,BUY,Broken level,BOS,false,15538.6810,15508.3851,SL,15506.4030,false,false,false,-1.065
1784894040,BUY,Broken level,CHOCH,false,15572.0480,15541.2084,SL,15540.8080,false,false,false,-1.013
1784895420,BUY,Trendline,BOS,true,15564.5720,15536.7519,TP3,15657.9260,true,true,true,3.356
1784898840,BUY,Broken level,BOS,false,15722.5090,15694.6186,TP3,15813.9290,true,true,true,3.278
1784905080,BUY,Broken level,CHOCH,false,15574.0760,15543.9132,TP3,15697.8590,true,true,true,4.104
1784916420,BUY,Broken level,CHOCH,true,15524.0450,15497.0105,SL,15496.2020,false,false,false,-1.030
1784919240,BUY,Trendline,BOS,false,15690.3840,15658.3031,SL,15637.9890,true,false,false,-1.633
1784923080,BUY,Broken level,CHOCH,false,15684.9110,15659.8898,SL,15657.2530,false,false,false,-1.105
1784924280,BUY,Broken level,CHOCH,true,15700.1140,15670.3881,SL,15668.3610,false,false,false,-1.068
1784930340,BUY,Broken level,CHOCH,false,15475.3040,15446.5357,SL,15443.0400,false,false,false,-1.122
1784931480,SELL,Broken level,CHOCH,false,15427.9600,15452.2971,TP3,15310.5740,true,true,true,4.823
1784935920,SELL,Broken level,BOS,false,15168.8430,15201.4712,SL,15207.5370,true,true,false,-1.186
1784940540,SELL,Broken level,CHOCH,false,15223.4000,15250.5652,SL,15264.4860,false,false,false,-1.512
1784948160,SELL,Broken level,CHOCH,true,15710.6800,15741.8388,TP3,15604.7630,true,true,true,3.399
1784950140,SELL,Broken level,CHOCH,false,15480.8620,15503.4404,TP3,15399.7270,true,true,true,3.593
1784951940,SELL,Broken level,BOS,false,15389.3710,15418.8271,SL,15425.0120,false,false,false,-1.210
1784953140,SELL,Broken level,BOS,false,15331.6960,15358.2731,TP3,15244.4830,true,true,true,3.282
1784957580,SELL,Broken level,CHOCH,true,15230.0700,15259.6081,SL,15261.5100,true,false,false,-1.064
1784961780,SELL,Broken level,CHOCH,false,15297.9090,15323.4744,SL,15329.2810,false,false,false,-1.227
